Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ModernizeInfraApp\ModernizeInfraApp.csproj,File,ModernizeInfraApp\ModernizeInfraApp.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.33,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.33  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ModernizeInfraApp\ModernizeInfraApp.csproj,File,ModernizeInfraApp\ModernizeInfraApp.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
